,Borough
London Borough of Camden,6
City of Westminster,5
London Borough of Richmond upon Thames,3
Royal Borough of Kensington and Chelsea,3
London Borough of Wandsworth,3
London Borough of Bromley,2
London Borough of Barnet,2
City of London Corporation,2
London Borough of Croydon,1
Royal Borough of Kingston upon Thames,1
Royal Borough of Greenwich,1
London Borough of Waltham Forest,1
London Borough of Sutton,1
London Borough of Redbridge,1
London Borough of Harrow,1
London Borough of Havering,1
London Borough of Hillingdon,1
London Borough of Islington,1
London Borough of Tower Hamlets,1
London Borough of Haringey,1
London Borough of Enfield,1
London Borough of Hounslow,1
London Borough of Ealing,1
London Borough of Lewisham,1
London Borough of Merton,1
