"Bookstore name,  Street_name, Town, Postcode"
Bath,"4-5 Milsom Street, Bath, BA1 1DA"
Hanley,"The Tontines Centre, Parliament Row, Hanley, Stoke-on-Trent, ST1 1PW"
Birmingham,"24-26 High Street, Birmingham, B4 7SL"
Bournemouth - Arcade,"14-16 The Arcade, Bournemouth, BH1 2AH"
Cork,"69 Patrick Street, Cork ,"
Eastbourne,"120 Terminus Road, Eastbourne , BN21 3AJ"
London - Hampstead,"68-69 Hampstead High Street, London , NW3 1QP"
York,"15 Coney Street, York , YO1 9QL"
Newbury,"Unit 14, 62 Parkway, Newbury, RG14 1AY"
Lancaster - King Street,"2-8 King Street, Lancaster, LA1 1JN"
Manchester - Deansgate,"91 Deansgate, Manchester , M3 2BW"
Nottingham,"1/5 Bridlesmith Gate, Nottingham , NG1 2GR"
Perth,"St John's Centre, Perth , PH1 5UX"
Hastings,"Priory Meadow Shopping Centre, 15-16 Kings Walk, Hastings, TN34 1PH"
Reigate,"Unit 1, 8-10 Bell Street, Reigate, RH2 7BG"
London - Victoria,"Cardinal Place, 88 Victoria Street, London, SW1E 5JL"
London - Blackheath Bookshop,"34 Tranquil Vale, Blackheath, London, SE3 0AX"
London - Liverpool Street Underground Station,"Liverpool Street Underground Station, Central Line Ticket Hall, London, EC2M 7PP"
Bristol - Clifton,"37 Regent Street, Clifton, Bristol, BS8 4HT"
London - Hatchards - St Pancras,"Unit 7, St Pancras International Station, Euston Road, London, N1C 4QP"
